players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Carney Chukwuemeka,ENG,MFFW,Aston Villa,17,1538,12,2,301,3.3,0,1,0,0,0,0,0,4,1,25,1.2,0.3,0,0,15.9,0,3,2,2,4,86,3,0,3,4,7,1,0,0,4,10,0,0,0,0,0,25,5,10,33.3,4,1.2,0,0,0,1,0.3,0,0,0,25,8.8,0,10,18,19,5,6,98,120,81.7,119,1,1,0,19,1,1,7,3,160,3,9,33.3,5,0,674,330,5,158,122,77.2,17
Philippe Coutinho,BRA,MFFW,Aston Villa,29,125000,19,16,1329,14.8,5,3,5,0,0,0,0,43,16,37.2,2.91,1.08,0.12,0.31,20.6,5,20,11,7,7,221,17,1,16,8,28,3,0,0,10,22,4,13,0,0,0,93,6,22,21.4,54,3.66,4,3,0,6,0.41,0,0,0,70,38.9,5,3,18,0,21,17,527,641,82.2,609,32,7,3,114,5,11,23,17,824,27,42,64.3,28,6,3264,1962,25,774,637,82.3,68
Mohamed Elyounoussi,NOR,MFFW,Southampton,26,60000,30,23,2042,22.7,4,2,4,0,0,4,0,43,17,39.5,1.9,0.75,0.09,0.24,13.7,0,46,33,10,21,499,37,4,33,19,65,24,0,0,38,28,1,35,0,0,0,167,35,61,36.5,52,2.29,2,3,1,5,0.22,0,0,0,68,59.7,12,7,23,5,24,35,451,639,70.6,634,5,2,2,163,2,6,36,31,954,18,37,48.6,23,4,3779,1991,52,840,620,73.8,114
Eberechi Eze,ENG,MFFW,Crystal Palace,23,30000,13,6,605,6.7,1,1,1,0,0,1,0,10,1,10,1.49,0.15,0.1,1,20.2,1,10,5,6,6,86,7,1,6,8,18,1,0,0,7,14,0,10,0,0,0,54,12,11,52.2,22,3.27,1,1,1,2,0.3,0,0,0,47,17.7,2,7,18,12,6,8,234,305,76.7,272,33,11,1,66,3,6,12,9,389,11,20,55,11,0,1461,771,16,325,267,82.2,43
Anthony Gordon,ENG,MFFW,Everton,20,10000,35,25,2285,25.4,4,2,4,0,0,4,0,44,19,43.2,1.73,0.75,0.09,0.21,18.5,5,62,36,22,41,596,58,5,53,36,98,8,0,0,30,69,8,71,2,0,0,166,18,47,27.7,73,2.88,5,12,2,5,0.2,0,2,0,65,66.8,14,10,20,2,23,40,503,754,66.7,660,94,27,1,141,4,16,49,37,1154,44,86,51.2,51,7,5020,2871,48,970,704,72.6,97
Demarai Gray,ENG,MFFW,Everton,25,44231,34,28,2338,26,5,4,5,0,0,3,0,65,15,23.1,2.5,0.58,0.08,0.33,20.2,4,33,19,15,17,339,38,2,36,16,49,15,1,0,14,45,3,57,0,0,0,142,6,53,10.2,83,3.2,12,6,0,6,0.23,1,0,0,69,68.4,9,6,20,0,30,39,544,757,71.9,656,101,32,2,156,1,10,27,43,1107,47,86,54.7,49,3,5573,3062,50,1017,733,72.1,144
Sam Greenwood,ENG,MFFW,Leeds United,19,1346,7,1,237,2.6,0,2,0,0,0,0,0,4,0,0,1.52,0,0,,19.4,1,8,2,3,4,73,2,1,1,2,10,3,0,0,7,1,1,4,0,0,0,24,2,4,33.3,6,2.28,0,0,0,2,0.76,0,0,0,34,6.9,0,6,26,14,7,5,60,85,70.6,79,6,3,0,20,1,0,3,8,111,1,2,50,1,0,343,129,1,82,62,75.6,18
Joelinton,BRA,MFFW,Newcastle Utd,24,80000,35,30,2558,28.4,4,1,4,0,0,8,0,46,14,30.4,1.62,0.49,0.09,0.29,16.9,0,72,44,23,33,610,67,12,55,48,120,47,1,0,79,48,3,18,0,0,0,241,106,107,49.8,64,2.25,3,6,3,6,0.21,0,1,0,73,74.8,24,5,14,1,34,46,745,941,79.2,928,13,0,1,300,1,15,41,31,1399,33,66,50,35,4,4543,2524,69,1103,868,78.7,101
Dejan Kulusevski,SWE,MFFW,Tottenham,21,110000,18,14,1261,14,5,8,5,0,0,3,0,26,9,34.6,1.86,0.64,0.19,0.56,17.1,0,20,16,6,13,310,11,0,11,26,46,1,0,0,25,18,4,24,0,0,0,90,5,13,27.8,47,3.35,6,1,0,14,1,3,0,0,59,52.1,6,10,18,5,36,17,389,464,83.8,444,20,1,0,82,1,2,13,22,634,28,56,50,31,5,2589,1482,27,586,452,77.1,95
Manuel Lanzini,ARG,MFFW,West Ham,28,70000,30,19,1786,19.8,5,3,2,3,3,2,0,13,4,30.8,0.66,0.2,0.15,0.5,21.6,1,25,18,12,29,373,22,1,21,28,53,7,0,0,18,24,1,12,0,0,0,187,7,20,25.9,55,2.77,2,2,1,10,0.5,1,1,1,86,82.7,27,0,,2,87,23,1103,1217,90.6,1152,65,10,3,173,1,10,23,9,1379,17,27,63,19,2,4878,2278,21,1132,1013,89.5,60
Alexis Mac Allister,ARG,MFFW,Brighton,22,30769,33,22,2123,23.6,5,2,3,2,3,4,0,57,9,15.8,2.42,0.38,0.05,0.33,20.4,4,73,51,22,37,565,45,7,38,24,97,20,0,0,38,47,4,21,0,0,0,245,28,29,49.1,66,2.8,1,4,4,4,0.17,0,0,0,70,71.9,14,7,22,0,48,41,877,1081,81.1,999,82,29,2,184,2,13,37,34,1405,18,39,46.2,22,4,4018,2038,30,1023,882,86.2,87
James Maddison,ENG,MFFW,Leicester City,24,110000,35,28,2459,27.3,12,8,12,0,0,3,0,73,33,45.2,2.67,1.21,0.16,0.36,19.8,13,45,24,8,23,498,27,3,24,20,65,10,0,0,26,80,4,49,1,0,0,134,6,25,19.4,100,3.66,9,12,3,19,0.7,1,2,1,84,73.5,26,2,21,3,46,41,777,1075,72.3,929,146,51,8,201,4,22,51,30,1382,36,61,59,38,2,4919,2582,31,1225,988,80.7,146
Jakub Moder,POL,MFFW,Brighton,22,10000,28,19,1701,18.9,0,3,0,0,0,1,0,28,6,21.4,1.48,0.32,0,0,16.5,2,42,29,18,22,361,31,2,29,22,64,26,1,0,23,11,0,28,0,0,0,146,23,41,35.9,37,1.96,3,0,2,4,0.21,0,0,0,1,0,0,1,1,1,0,0,590,806,73.2,777,29,10,0,128,2,12,32,36,1051,14,34,41.2,16,4,3382,1668,28,892,720,80.7,91
Mason Mount,ENG,MFFW,Chelsea,22,88462,32,27,2363,26.3,11,10,10,1,1,4,0,75,27,36,2.86,1.03,0.13,0.37,17.6,6,43,29,11,22,528,23,2,21,20,63,11,0,0,37,29,5,79,0,0,0,145,11,39,22,111,4.23,5,4,1,15,0.57,0,1,0,52,51.9,6,15,17,2,29,21,991,1272,77.9,1161,111,13,6,215,6,12,44,45,1576,22,46,47.8,23,3,5821,3276,44,1485,1187,79.9,240
Enock Mwepu,ZAM,MFFW,Brighton,23,30769,18,12,996,11.1,2,4,2,0,0,2,0,19,8,42.1,1.72,0.72,0.11,0.25,19.6,0,25,14,7,22,223,24,4,20,16,41,20,0,0,24,17,2,9,1,1,0,104,12,30,28.6,22,1.99,0,3,0,7,0.63,0,1,0,81,30.8,10,1,32,4,14,17,300,398,75.4,394,4,2,1,85,0,6,20,13,558,12,21,57.1,14,1,1781,998,15,450,347,77.1,50
Alex Oxlade-Chamberlain,ENG,MFFW,Liverpool,27,120000,17,9,785,8.7,2,1,2,0,0,0,0,21,3,14.3,2.41,0.34,0.1,0.67,20.3,0,17,14,5,8,172,11,3,8,8,25,7,0,0,12,7,2,22,0,0,0,65,5,12,29.4,21,2.41,2,1,1,1,0.11,0,0,0,31,3.6,0,3,12,20,6,0,318,403,78.9,393,10,3,0,63,1,6,8,18,503,10,15,66.7,13,0,2088,1234,18,465,371,79.8,54
Ayoze Perez,ESP,MFFW,Leicester City,28,45000,14,6,445,4.9,2,3,2,0,0,0,1,11,6,54.5,2.22,1.21,0.18,0.33,15,0,8,6,2,9,128,11,2,9,9,17,3,0,0,8,12,0,4,0,0,0,30,8,16,33.3,18,3.64,2,0,1,2,0.4,0,0,0,4,0.1,0,1,4,4,0,0,121,155,78.1,152,3,0,0,50,1,3,6,7,244,8,16,50,9,1,719,430,16,231,169,73.2,36
Paul Pogba,FRA,MFFW,Manchester Utd,28,290000,20,16,1349,15,1,9,1,0,0,7,1,32,8,25,2.13,0.53,0.03,0.13,17.3,0,20,13,5,14,264,16,1,15,19,39,25,0,0,45,39,0,15,0,0,0,126,39,26,60,51,3.4,4,5,0,11,0.73,0,0,0,90,94.7,36,0,,0,32,47,738,879,84,865,14,12,5,184,3,17,30,20,1086,40,52,76.9,41,1,3509,2109,34,968,851,87.9,60
Christian Pulisic,USA,MFFW,Chelsea,22,150000,22,13,1290,14.3,6,2,6,0,0,2,0,28,11,39.3,1.95,0.77,0.21,0.55,12.9,0,18,9,2,10,294,18,0,18,11,29,9,0,0,14,35,4,13,0,0,0,79,15,33,31.3,33,2.3,0,5,3,2,0.14,0,0,0,42,14.7,0,6,13,12,1,12,368,462,79.7,445,17,1,0,116,2,7,20,20,681,20,47,42.6,24,1,2861,1561,31,704,511,72.6,121
Nathan Redmond,ENG,MFFW,Southampton,27,60000,27,20,1833,20.4,1,5,1,0,0,0,0,25,9,36,1.23,0.44,0.04,0.11,20,1,20,13,5,17,364,34,2,32,21,41,18,0,0,17,20,3,51,0,0,0,142,16,47,25.4,66,3.24,2,2,1,8,0.39,0,1,0,77,56,13,3,40,6,32,25,511,726,70.4,688,38,2,4,155,2,11,36,22,916,22,39,56.4,25,3,3883,2168,19,839,624,74.4,95
Tyler Roberts,WAL,MFFW,Leeds United,22,3462,23,7,987,11,1,1,1,0,0,5,0,30,12,40,2.74,1.09,0.03,0.08,18.5,0,17,7,9,6,169,10,1,9,7,24,8,0,0,19,25,3,16,0,0,0,63,10,26,27.8,28,2.55,2,2,0,1,0.09,0,0,0,87,74.2,25,0,,4,71,20,222,301,73.8,284,17,2,0,58,0,14,8,13,435,9,22,40.9,9,0,1778,815,13,450,300,66.7,79
Rodrigo,ESP,MFFW,Leeds United,30,57692,31,27,2265,25.2,6,1,5,1,1,9,0,48,17,35.4,1.91,0.68,0.1,0.29,18,0,26,18,9,17,417,15,1,14,19,45,27,0,0,27,32,4,28,0,0,0,139,29,50,36.7,73,2.9,2,2,4,4,0.16,1,0,1,48,40.4,5,16,21,2,13,15,667,895,74.5,838,57,8,5,189,2,18,55,35,1177,15,40,37.5,16,0,3884,1744,33,1206,867,71.9,191
Jeffrey Schlupp,GHA,MFFW,Crystal Palace,28,55962,32,20,1851,20.6,4,1,4,0,0,1,0,33,9,27.3,1.6,0.44,0.12,0.44,13.4,0,49,23,14,26,382,50,10,40,25,74,33,0,0,32,28,0,19,1,0,0,181,41,35,53.9,41,1.99,4,3,0,5,0.24,1,2,0,90,97.4,37,0,,1,57,58,506,667,75.9,658,9,8,1,130,5,18,26,24,972,27,49,55.1,30,4,2959,1483,33,717,595,83,58
Ken Sema,SWE,MFFW,Watford,27,15000,18,7,852,9.5,0,0,0,0,0,1,0,3,1,33.3,0.32,0.11,0,0,21.1,1,12,8,5,15,194,15,1,14,9,21,18,0,0,19,9,0,18,0,0,0,63,10,22,31.3,20,2.11,1,3,1,0,0,0,0,0,85,62.3,19,0,,4,24,18,132,213,62,192,21,8,0,42,0,7,5,19,322,14,27,51.9,15,2,993,518,25,290,181,62.4,35
Bernardo Silva,POR,MFFW,Manchester City,26,150000,35,33,2857,31.7,8,4,8,0,0,6,0,47,19,40.4,1.48,0.6,0.17,0.42,12.4,0,52,33,26,41,480,33,3,30,32,84,26,0,0,36,37,9,65,1,0,0,214,14,19,42.4,127,4,11,6,0,13,0.41,0,1,0,26,16.7,2,16,7,15,9,7,1698,1921,88.4,1840,81,23,6,251,3,12,42,48,2244,51,88,58,58,2,10272,5886,34,1998,1770,88.6,213
Emile Smith Rowe,ENG,MFFW,Arsenal,21,20000,33,21,1921,21.3,10,2,10,0,0,1,0,40,23,57.5,1.87,1.08,0.25,0.43,15.5,0,20,16,4,11,256,15,1,14,20,40,13,0,0,7,30,2,21,0,0,0,144,8,20,28.6,65,3.05,5,3,0,6,0.28,0,0,0,71,43.5,12,5,24,12,22,27,691,811,85.2,772,39,4,3,100,2,5,21,14,1037,32,50,64,33,0,4219,2657,37,928,765,82.4,98
Crysencio Summerville,NED,MFFW,Leeds United,19,5769,6,0,130,1.4,0,0,0,0,0,0,0,2,0,0,1.38,0,0,,11.9,0,6,4,3,0,22,2,0,2,5,11,0,0,0,1,2,0,4,0,0,0,16,1,5,16.7,2,1.38,0,0,0,0,0,0,0,0,60,17.7,5,4,34,17,2,18,50,69,72.5,68,1,0,0,11,0,2,4,4,93,3,6,50,3,0,388,173,5,81,61,75.3,13
Nathan Tella,ENG,MFFW,Southampton,22,12500,14,10,804,8.9,0,1,0,0,0,2,0,12,5,41.7,1.34,0.56,0,0,20.9,0,12,5,4,14,269,18,0,18,19,31,7,0,0,21,23,3,9,0,0,0,78,8,27,22.9,18,2.01,2,4,0,3,0.34,0,1,0,79,48.5,16,3,25,8,26,26,112,181,61.9,173,8,1,0,41,1,4,8,12,354,11,33,33.3,13,2,1405,824,25,317,203,64,35
Bertrand Traore,BFA,MFFW,Aston Villa,25,77885,9,1,220,2.4,0,0,0,0,0,0,0,8,1,12.5,3.27,0.41,0,0,16.8,0,2,0,1,2,27,0,0,0,0,2,1,0,0,0,4,2,6,1,0,0,18,5,7,41.7,11,4.5,3,1,0,2,0.82,1,1,0,11,0.3,0,1,11,3,0,1,62,83,74.7,81,2,0,0,15,0,2,6,3,125,10,21,47.6,12,4,632,276,2,142,96,67.6,21
Theo Walcott,ENG,MFFW,Southampton,32,75000,9,5,379,4.2,0,0,0,0,0,0,0,6,0,0,1.42,0,0,,15.9,0,5,3,3,2,79,5,0,5,7,12,2,0,0,2,6,2,4,0,0,0,21,3,4,42.9,4,0.95,0,0,0,1,0.24,0,0,0,88,51.3,19,0,,7,42,14,61,86,70.9,85,1,0,0,13,0,2,1,7,130,1,2,50,1,0,363,153,3,137,85,62,22
